Drug name	Disease name
Vinblastine	Mycosis Fungoides
Vinblastine	Testicular Tumors
Vinblastine	Thrombocytopenic Purpura, Autoimmune; Aitp
Vincristine	Dohle Bodies And Leukemia
Vincristine	Hodgkin Lymphoma
Vincristine	Leukemia, Acute Myelocytic, With Polyposis Coli And Colon Cancer
Vincristine	Leukemia, Acute Myeloid; Aml
Vincristine	Leukemia, Chronic Lymphocytic, Susceptibility To, 2
Vincristine	Lymphoblastic Leukemia, Acute, With Lymphomatous Features; Lall
Vincristine	Mismatch Repair Cancer Syndrome
Vincristine	Myeloma, Multiple
Vincristine	Neuroblastoma, Susceptibility To
Vincristine	Reticulum Cell Sarcoma
Vincristine	Rhabdomyosarcoma 2; Rms2
Vincristine	Spastic Paraplegia And Evans Syndrome
Vincristine	Wilms Tumor 1; Wt1
Vinorelbine	Hodgkin Lymphoma
Vitamin A	Hypercarotenemia And Vitamin A Deficiency, Autosomal Dominant
Vitamin A	Hypercarotenemia And Vitamin A Deficiency, Autosomal Recessive
Vitamin C	Hypoascorbemia
Vitamin C	Iron-Refractory Iron Deficiency Anemia; Irida
Vitamin C	Methemoglobinemia Type Iv
Vitamin E	Acanthosis Nigricans With Muscle Cramps And Acral Enlargement
Vitamin E	Alzheimer Disease, Familial Early-Onset, With Coexisting Amyloid And
Vitamin E	Alzheimer Disease; Ad
Vitamin E	Dementia/Parkinsonism With Non-Alzheimer Amyloid Plaques
Vitamin E	Dyskinesia, Familial, With Facial Myokymia
Vitamin E	Gamma-Glutamylcysteine Synthetase Deficiency, Hemolytic Anemia Due
Vitamin E	Glutathione Synthetase Deficiency Of Erythrocytes, Hemolytic Anemia
Vitamin E	Uridine 5-Prime Monophosphate Hydrolase Deficiency, Hemolytic Anemia
Vitamin E	Vitamin E, Familial Isolated Deficiency Of; Ved
Vorinostat	Mismatch Repair Cancer Syndrome
Vorinostat	Mycosis Fungoides
Warfarin	Antiphospholipid Syndrome, Familial
Warfarin	Atrial Fibrillation, Familial, 1; Atfb1
Warfarin	Atrial Fibrillation, Familial, 3; Atfb3
Warfarin	Cerebral Arteriopathy, Autosomal Dominant, With Subcortical Infarcts
Warfarin	Mitochondrial Myopathy, Encephalopathy, Lactic Acidosis, And Stroke-Like
Warfarin	Stroke, Ischemic
Zafirlukast	Asthma, Nasal Polyps, And Aspirin Intolerance
Zileuton	Asthma, Nasal Polyps, And Aspirin Intolerance
Zileuton	Asthma, Susceptibility To
Ziprasidone	Gilles De La Tourette Syndrome; Gts
Ziprasidone	Schizophrenia; Sczd
Zoledronate	Acroosteolysis With Osteoporosis And Changes In Skull And Mandible
Zoledronate	Hypercalcemia, Idiopathic, Of Infancy
Zoledronate	Inclusion Body Myopathy With Early-Onset Paget Disease And Frontotemporal
Zoledronate	Leiomyomatosis And Renal Cell Cancer, Hereditary
Zoledronate	Mismatch Repair Cancer Syndrome
Zoledronate	Myeloma, Multiple
Zoledronate	Paget Disease Of Bone; Pdb
Zolmitriptan	Migraine With Or Without Aura, Susceptibility To, 1
Zonisamide	Ataxia With Myoclonic Epilepsy And Presenile Dementia
Zonisamide	Convulsive Disorder, Familial, With Prenatal Or Early Onset
Zonisamide	Epilepsy, Childhood Absence, Susceptibility To, 1; Eca1
Zonisamide	Epilepsy, Childhood Absence, Susceptibility To, 2; Eca2
Zonisamide	Epilepsy, Idiopathic Generalized, Susceptibility To, 11; Eig11
Zonisamide	Epilepsy, Idiopathic Generalized, Susceptibility To, 7; Eig7
Zonisamide	Epilepsy, Idiopathic Generalized, Susceptibility To, 9; Eig9
Zonisamide	Epilepsy, Juvenile Absence, Susceptibility To, 1; Eja1
Zonisamide	Epilepsy, Rolandic, With Paroxysmal Exercise-Induced Dystonia And
Zonisamide	Epilepsy, X-Linked, With Variable Learning Disabilities And Behavior
Zonisamide	Hyperphosphatemia, Polyuria, And Seizures
Zonisamide	Retinal Degeneration And Epilepsy
Zonisamide	Tremor, Hereditary Essential, 1; Etm1
